sample,ASV_incognita_count,ASV_trichiura_count,ASV_count,incognita_pct,sra_id,Country,depth_group
S_C001,2213,355,2568,86.17601246,SRR34280518,Cote d'Ivoire,ASV count < 10k
S_C002,8453,0,8453,100,SRR34280517,Cote d'Ivoire,ASV count < 10k
S_C003,954,323,1277,74.70634299,SRR34280502,Cote d'Ivoire,ASV count < 10k
S_C005,1599,920,2519,63.47757046,SRR34280583,Cote d'Ivoire,ASV count < 10k
S_C006,645,338,983,65.61546287,SRR34280568,Cote d'Ivoire,ASV count < 10k
S_C007,1194,660,1854,64.4012945,SRR34280713,Cote d'Ivoire,ASV count < 10k
S_C009,1035,313,1348,76.78041543,SRR34280698,Cote d'Ivoire,ASV count < 10k
S_C010,770,183,953,80.79748164,SRR34280664,Cote d'Ivoire,ASV count < 10k
S_C016,3007,299,3306,90.95583787,SRR34280178,Cote d'Ivoire,ASV count < 10k
S_C017,15258,350,15608,97.75756023,SRR34280516,Cote d'Ivoire,ASV count > 10k
S_C019,8966,241,9207,97.38242641,SRR34280345,Cote d'Ivoire,ASV count < 10k
S_C020,2677,1536,4213,63.54141942,SRR34280334,Cote d'Ivoire,ASV count < 10k
S_C021,4714,643,5357,87.99701325,SRR34280323,Cote d'Ivoire,ASV count < 10k
S_C022,2460,351,2811,87.51334045,SRR34280824,Cote d'Ivoire,ASV count < 10k
S_C023,1744,217,1961,88.93421724,SRR34280813,Cote d'Ivoire,ASV count < 10k
S_C024,1089,190,1279,85.14464425,SRR34280642,Cote d'Ivoire,ASV count < 10k
S_C026,13116,1519,14635,89.62077212,SRR34280631,Cote d'Ivoire,ASV count > 10k
S_C027,889,485,1374,64.70160116,SRR34280620,Cote d'Ivoire,ASV count < 10k
S_C028,6113,253,6366,96.02576186,SRR34280513,Cote d'Ivoire,ASV count < 10k
S_C029,524,1154,1678,31.22765197,SRR34280501,Cote d'Ivoire,ASV count < 10k
S_C030,22562,0,22562,100,SRR34280490,Cote d'Ivoire,ASV count > 10k
S_C031,961,887,1848,52.0021645,SRR34280319,Cote d'Ivoire,ASV count < 10k
S_C032,2661,646,3307,80.46567886,SRR34280308,Cote d'Ivoire,ASV count < 10k
S_C033,3120,121,3241,96.26658439,SRR34280297,Cote d'Ivoire,ASV count < 10k
S_C034,2662,488,3150,84.50793651,SRR34280798,Cote d'Ivoire,ASV count < 10k
S_C035,40431,0,40431,100,SRR34280787,Cote d'Ivoire,ASV count > 10k
S_C036,951,0,951,100,SRR34280776,Cote d'Ivoire,ASV count < 10k
S_C037,677,310,987,68.591692,SRR34280605,Cote d'Ivoire,ASV count < 10k
S_C038,40060,24752,64812,61.80954144,SRR34280594,Cote d'Ivoire,ASV count > 10k
S_C040,35549,1033,36582,97.17620688,SRR34280582,Cote d'Ivoire,ASV count > 10k
S_C044,488,486,974,50.1026694,SRR34280464,Cote d'Ivoire,ASV count < 10k
S_C045,799,181,980,81.53061224,SRR34280453,Cote d'Ivoire,ASV count < 10k
S_C046,15641,470,16111,97.0827385,SRR34280282,Cote d'Ivoire,ASV count > 10k
S_C047,25298,0,25298,100,SRR34280271,Cote d'Ivoire,ASV count > 10k
S_C048,1155,0,1155,100,SRR34280260,Cote d'Ivoire,ASV count < 10k
S_C049,8621,108,8729,98.76274487,SRR34280761,Cote d'Ivoire,ASV count < 10k
S_C050,4925,365,5290,93.10018904,SRR34280750,Cote d'Ivoire,ASV count < 10k
S_C051,3913,2074,5987,65.35827627,SRR34280739,Cote d'Ivoire,ASV count < 10k
S_C052,2516,0,2516,100,SRR34280567,Cote d'Ivoire,ASV count < 10k
S_C055,11097,240,11337,97.88303784,SRR34280556,Cote d'Ivoire,ASV count > 10k
S_C056,1766,277,2043,86.44150759,SRR34280449,Cote d'Ivoire,ASV count < 10k
S_C058,3167,34,3201,98.93783193,SRR34280438,Cote d'Ivoire,ASV count < 10k
S_C059,4525,1211,5736,78.88772664,SRR34280427,Cote d'Ivoire,ASV count < 10k
S_C060,1068,634,1702,62.74970623,SRR34280256,Cote d'Ivoire,ASV count < 10k
S_C061,1074,1155,2229,48.18304172,SRR34280245,Cote d'Ivoire,ASV count < 10k
S_C062,50491,0,50491,100,SRR34280234,Cote d'Ivoire,ASV count > 10k
S_C063,2823,1639,4462,63.26759301,SRR34280735,Cote d'Ivoire,ASV count < 10k
S_C064,454,561,1015,44.72906404,SRR34280724,Cote d'Ivoire,ASV count < 10k
S_C065,694,960,1654,41.95888755,SRR34280712,Cote d'Ivoire,ASV count < 10k
S_C066,105731,0,105731,100,SRR34280413,Cote d'Ivoire,ASV count > 10k
S_C067,385,377,762,50.52493438,SRR34280402,Cote d'Ivoire,ASV count < 10k
S_C069,101564,0,101564,100,SRR34280391,Cote d'Ivoire,ASV count > 10k
S_C070,22226,0,22226,100,SRR34280380,Cote d'Ivoire,ASV count > 10k
S_C071,870,200,1070,81.30841121,SRR34280369,Cote d'Ivoire,ASV count < 10k
S_C072,49419,0,49419,100,SRR34280358,Cote d'Ivoire,ASV count > 10k
S_C073,2695,219,2914,92.48455731,SRR34280219,Cote d'Ivoire,ASV count < 10k
S_C075,14446,0,14446,100,SRR34280197,Cote d'Ivoire,ASV count > 10k
S_C076,4858,180,5038,96.42715363,SRR34280697,Cote d'Ivoire,ASV count < 10k
S_C077,469,267,736,63.72282609,SRR34280686,Cote d'Ivoire,ASV count < 10k
S_C078,10056,0,10056,100,SRR34280675,Cote d'Ivoire,ASV count > 10k
S_C079,5004,0,5004,100,SRR34280536,Cote d'Ivoire,ASV count < 10k
S_C080,475,192,667,71.2143928,SRR34280525,Cote d'Ivoire,ASV count < 10k
S_C081,557,963,1520,36.64473684,SRR34280194,Cote d'Ivoire,ASV count < 10k
S_C082,980,0,980,100,SRR34280183,Cote d'Ivoire,ASV count < 10k
S_C083,1661,627,2288,72.59615385,SRR34280844,Cote d'Ivoire,ASV count < 10k
S_C084,2151,153,2304,93.359375,SRR34280673,Cote d'Ivoire,ASV count < 10k
S_C086,3540,0,3540,100,SRR34280665,Cote d'Ivoire,ASV count < 10k
S_C087,3141,0,3141,100,SRR34280663,Cote d'Ivoire,ASV count < 10k
S_C090,745,524,1269,58.70764381,SRR34280661,Cote d'Ivoire,ASV count < 10k
S_C092,641,1337,1978,32.40647118,SRR34280659,Cote d'Ivoire,ASV count < 10k
S_C093,423,1134,1557,27.16763006,SRR34280658,Cote d'Ivoire,ASV count < 10k
S_C094,1963,48,2011,97.6131278,SRR34280657,Cote d'Ivoire,ASV count < 10k
S_C095,1350,290,1640,82.31707317,SRR34280656,Cote d'Ivoire,ASV count < 10k
S_C096,36707,0,36707,100,SRR34280655,Cote d'Ivoire,ASV count > 10k
S_C097,8534,139,8673,98.39732503,SRR34280654,Cote d'Ivoire,ASV count < 10k
S_C098,3148,361,3509,89.71216871,SRR34280652,Cote d'Ivoire,ASV count < 10k
S_C100,2307,257,2564,89.97659906,SRR34280651,Cote d'Ivoire,ASV count < 10k
S_C102,3271,550,3821,85.60586234,SRR34280650,Cote d'Ivoire,ASV count < 10k
S_C103,4843,442,5285,91.63670766,SRR34280649,Cote d'Ivoire,ASV count < 10k
S_C104,23640,0,23640,100,SRR34280648,Cote d'Ivoire,ASV count > 10k
