sample,Trichuris_incognita_cluster,Average_length_T_incognita,Trichuris_trichiura_cluster,Average_length_T_trichiura,Trichuris_suis_cluster,Infection_species,Sample_type,Country,ASV_Clus_23,ASV_Clus_4,ASV_Clus_0,ASV_Clus_58,ASV_Clus_40,ASV_Clus_53,ASV_Clus_3,ASV_Clus_54,ASV_Clus_2,ASV_Clus_55,ASV_Clus_5,ASV_Clus_8,ASV_Clus_56,ASV_Clus_9,ASV_Clus_24,ASV_Clus_10,ASV_Clus_11,ASV_Clus_52,ASV_Clus_41,ASV_Clus_42,ASV_Clus_43,ASV_Clus_12,ASV_Clus_13,ASV_Clus_25,ASV_Clus_44,ASV_Clus_45,ASV_Clus_14,ASV_Clus_26,ASV_Clus_15,ASV_Clus_27,ASV_Clus_60,ASV_Clus_28,ASV_Clus_29,ASV_Clus_63,ASV_Clus_38,ASV_Clus_30,ASV_Clus_39,ASV_Clus_6,ASV_Clus_46,ASV_Clus_31,ASV_Clus_32,ASV_Clus_16,ASV_Clus_33,ASV_Clus_17,ASV_Clus_18,ASV_Clus_19,ASV_Clus_34,ASV_Clus_47,ASV_Clus_20,ASV_Clus_1,ASV_Clus_48,ASV_Clus_21,ASV_Clus_49,ASV_Clus_57,ASV_Clus_7,ASV_Clus_35,ASV_Clus_36,ASV_Clus_50,ASV_Clus_37,ASV_Clus_22,ASV_Clus_51,ASV_Clus_59,ASV_Clus_84,ASV_Clus_123,ASV_Clus_94,ASV_Clus_86,ASV_Clus_97,ASV_Clus_82,ASV_Clus_161,ASV_Clus_79,ASV_Clus_95,ASV_Clus_122,ASV_Clus_73,ASV_Clus_80,ASV_Clus_125,ASV_Clus_162,ASV_Clus_90,ASV_Clus_75,ASV_Clus_194,ASV_Clus_195,ASV_Clus_91,ASV_Clus_124,ASV_Clus_163,ASV_Clus_67,ASV_Clus_71,ASV_Clus_96,ASV_Clus_85,ASV_Clus_74,ASV_Clus_66,ASV_Clus_214,ASV_Clus_77,ASV_Clus_208,ASV_Clus_164,ASV_Clus_81,ASV_Clus_165,ASV_Clus_83,ASV_Clus_129,ASV_Clus_65,ASV_Clus_61,ASV_Clus_166,ASV_Clus_70,ASV_Clus_167,ASV_Clus_62,ASV_Clus_98,ASV_Clus_126,ASV_Clus_68,ASV_Clus_127,ASV_Clus_168,ASV_Clus_169,ASV_Clus_170,ASV_Clus_87,ASV_Clus_99,ASV_Clus_209,ASV_Clus_171,ASV_Clus_128,ASV_Clus_130,ASV_Clus_140,ASV_Clus_197,ASV_Clus_131,ASV_Clus_132,ASV_Clus_88,ASV_Clus_172,ASV_Clus_173,ASV_Clus_100,ASV_Clus_133,ASV_Clus_101,ASV_Clus_174,ASV_Clus_134,ASV_Clus_135,ASV_Clus_157,ASV_Clus_136,ASV_Clus_175,ASV_Clus_176,ASV_Clus_102,ASV_Clus_177,ASV_Clus_76,ASV_Clus_210,ASV_Clus_89,ASV_Clus_178,ASV_Clus_137,ASV_Clus_103,ASV_Clus_179,ASV_Clus_138,ASV_Clus_180,ASV_Clus_160,ASV_Clus_206,ASV_Clus_207,ASV_Clus_139,ASV_Clus_121,ASV_Clus_104,ASV_Clus_181,ASV_Clus_72,ASV_Clus_141,ASV_Clus_182,ASV_Clus_199,ASV_Clus_105,ASV_Clus_142,ASV_Clus_143,ASV_Clus_183,ASV_Clus_106,ASV_Clus_184,ASV_Clus_144,ASV_Clus_145,ASV_Clus_146,ASV_Clus_107,ASV_Clus_185,ASV_Clus_147,ASV_Clus_200,ASV_Clus_186,ASV_Clus_108,ASV_Clus_201,ASV_Clus_109,ASV_Clus_202,ASV_Clus_148,ASV_Clus_149,ASV_Clus_110,ASV_Clus_150,ASV_Clus_187,ASV_Clus_151,ASV_Clus_203,ASV_Clus_152,ASV_Clus_153,ASV_Clus_211,ASV_Clus_111,ASV_Clus_188,ASV_Clus_212,ASV_Clus_112,ASV_Clus_154,ASV_Clus_189,ASV_Clus_113,ASV_Clus_155,ASV_Clus_213,ASV_Clus_204,ASV_Clus_156,ASV_Clus_92,ASV_Clus_114,ASV_Clus_115,ASV_Clus_190,ASV_Clus_116,ASV_Clus_191,ASV_Clus_158,ASV_Clus_117,ASV_Clus_118,ASV_Clus_159,ASV_Clus_119,ASV_Clus_192,ASV_Clus_205
S_C038,3,603,7,531,0,Mixed_infection,Sample,Cote d'Ivoire,29712,8294,2054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12939,0,0,0,2104,0,982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1129,0,0,0,0,0,0,3084,957,3557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_C040,2,597,2,529,0,Mixed_infection,Sample,Cote d'Ivoire,32788,2761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_C204,2,597,3,528,0,Mixed_infection,Sample,Cote d'Ivoire,29364,5198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541,447,0,0,0,0,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_C339,1,598,1,530,0,Mixed_infection,Sample,Cote d'Ivoire,0,29741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_C220,2,597,2,530,0,Mixed_infection,Sample,Cote d'Ivoire,20547,8025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,0,0,0,0,0,0,0,0,0,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_C122,1,598,2,530,0,Mixed_infection,Sample,Cote d'Ivoire,0,16487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_C149,2,597,1,533,0,Mixed_infection,Sample,Cote d'Ivoire,13952,2274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_C289,2,597,2,530,0,Mixed_infection,Sample,Cote d'Ivoire,10564,5159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_C046,4,597,1,530,0,Mixed_infection,Sample,Cote d'Ivoire,9812,4872,0,0,0,0,0,0,0,0,497,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_C017,3,597,1,530,0,Mixed_infection,Sample,Cote d'Ivoire,13666,726,0,0,0,0,0,0,0,0,866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
