Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,host_subject_id,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR31228438,AMPLICON,602,61294436,PRJNA1131306,SAMN44581006,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",44372605,UNIVERSITY OF CALGARY,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,feces,SRX26608843,uncalculated,uncalculated,Cote d'Ivoire,Homo sapiens,BL-B8823,Illumina MiSeq,not collected,BL-B8823-ITS-2,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-12-23T00:00:00Z,2024-11-05T06:25:00Z,1,BL-B8823,SRP543212
SRR31228439,AMPLICON,602,37942856,PRJNA1131306,SAMN44581005,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",27813389,UNIVERSITY OF CALGARY,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,feces,SRX26608842,uncalculated,uncalculated,Cote d'Ivoire,Homo sapiens,BL-B8746,Illumina MiSeq,not collected,BL-B8746-ITS-2,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-12-23T00:00:00Z,2024-11-05T06:26:00Z,1,BL-B8746,SRP543212
SRR31228440,AMPLICON,602,61694164,PRJNA1131306,SAMN44581004,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",44694803,UNIVERSITY OF CALGARY,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,feces,SRX26608841,uncalculated,uncalculated,Cote d'Ivoire,Homo sapiens,BL-B8745,Illumina MiSeq,not collected,BL-B8745-ITS-2,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-12-23T00:00:00Z,2024-11-05T06:25:00Z,1,BL-B8745,SRP543212
SRR31228441,AMPLICON,602,50156834,PRJNA1131306,SAMN44581001,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",36397936,UNIVERSITY OF CALGARY,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,feces,SRX26608840,uncalculated,uncalculated,Cote d'Ivoire,Homo sapiens,BL-B7534,Illumina MiSeq,not collected,BL-B7534-ITS-2,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-12-23T00:00:00Z,2024-11-05T06:25:00Z,1,BL-B7534,SRP543212
SRR31228442,AMPLICON,602,67302998,PRJNA1131306,SAMN44580998,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",48696136,UNIVERSITY OF CALGARY,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,feces,SRX26608839,uncalculated,uncalculated,Cote d'Ivoire,Homo sapiens,BL-B2032,Illumina MiSeq,not collected,BL-B2032-ITS-2,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-12-23T00:00:00Z,2024-11-05T06:25:00Z,1,BL-B2032,SRP543212
SRR31228443,AMPLICON,602,138918724,PRJNA1131306,SAMN44580997,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",100395295,UNIVERSITY OF CALGARY,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,feces,SRX26608838,uncalculated,uncalculated,Cote d'Ivoire,Homo sapiens,BL-B1977,Illumina MiSeq,not collected,BL-B1977-ITS-2,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-12-23T00:00:00Z,2024-11-05T06:25:00Z,1,BL-B1977,SRP543212
SRR31228444,AMPLICON,602,82531792,PRJNA1131306,SAMN44580996,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",59686152,UNIVERSITY OF CALGARY,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,feces,SRX26608837,uncalculated,uncalculated,Cote d'Ivoire,Homo sapiens,BL-B0704,Illumina MiSeq,not collected,BL-B0704-ITS-2,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-12-23T00:00:00Z,2024-11-05T06:25:00Z,1,BL-B0704,SRP543212
SRR31228445,AMPLICON,602,53828432,PRJNA1131306,SAMN44580995,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",39056602,UNIVERSITY OF CALGARY,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,feces,SRX26608836,uncalculated,uncalculated,Cote d'Ivoire,Homo sapiens,BL-B0393,Illumina MiSeq,not collected,BL-B0393-ITS-2,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-12-23T00:00:00Z,2024-11-05T06:25:00Z,1,BL-B0393,SRP543212
SRR31228446,AMPLICON,602,30688756,PRJNA1131306,SAMN44580994,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",22570597,UNIVERSITY OF CALGARY,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,feces,SRX26608835,uncalculated,uncalculated,Cote d'Ivoire,Homo sapiens,BL-B0133,Illumina MiSeq,not collected,BL-B0133-ITS-2,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-12-23T00:00:00Z,2024-11-05T06:25:00Z,1,BL-B0133,SRP543212
SRR31228447,AMPLICON,602,97579384,PRJNA1131306,SAMN44580993,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",70532934,UNIVERSITY OF CALGARY,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,feces,SRX26608834,uncalculated,uncalculated,Cote d'Ivoire,Homo sapiens,BL-A4654,Illumina MiSeq,not collected,BL-A4654-ITS-2,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-12-23T00:00:00Z,2024-11-05T06:26:00Z,1,BL-A4654,SRP543212
SRR31228448,AMPLICON,502,9201158,PRJNA1131306,SAMN44580997,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",5459060,UNIVERSITY OF CALGARY,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,feces,SRX26608833,uncalculated,uncalculated,Cote d'Ivoire,Homo sapiens,BL-B1977,Illumina MiSeq,not collected,BL-B1977-ITS-1,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-12-23T00:00:00Z,2024-11-05T06:25:00Z,1,BL-B1977,SRP543212
SRR31228449,AMPLICON,602,38183054,PRJNA1131306,SAMN44580992,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",27955951,UNIVERSITY OF CALGARY,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,feces,SRX26608832,uncalculated,uncalculated,Cote d'Ivoire,Homo sapiens,BL-A4651,Illumina MiSeq,not collected,BL-A4651-ITS-2,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-12-23T00:00:00Z,2024-11-05T06:25:00Z,1,BL-A4651,SRP543212
SRR31228450,AMPLICON,602,116881310,PRJNA1131306,SAMN44580991,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",84370308,UNIVERSITY OF CALGARY,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,feces,SRX26608831,uncalculated,uncalculated,Cote d'Ivoire,Homo sapiens,BL-A4617,Illumina MiSeq,not collected,BL-A4617-ITS-2,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-12-23T00:00:00Z,2024-11-05T06:26:00Z,1,BL-A4617,SRP543212
SRR31228451,AMPLICON,602,44006802,PRJNA1131306,SAMN44580990,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",31994380,UNIVERSITY OF CALGARY,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,feces,SRX26608830,uncalculated,uncalculated,Cote d'Ivoire,Homo sapiens,BL-A4574,Illumina MiSeq,not collected,BL-A4574-ITS-2,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-12-23T00:00:00Z,2024-11-05T06:25:00Z,1,BL-A4574,SRP543212
SRR31228452,AMPLICON,502,12231230,PRJNA1131306,SAMN44581074,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",7233599,UNIVERSITY OF CALGARY,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,feces,SRX26608829,Tanzania,Africa,Tanzania: Pemba Island,Homo sapiens,BL-396,Illumina MiSeq,not collected,BL-396-ITS-1,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-12-23T00:00:00Z,2024-11-05T06:25:00Z,1,BL-396,SRP543212
