Run	Marker	Country	Reads_mapped_total	Reads_trichiura	Reads_incognita
SRR31228439	ITS-2	Cote_dIvoire	14594	14	14580
SRR31228440	ITS-2	Cote_dIvoire	18060	35	18025
SRR31228447	ITS-2	Cote_dIvoire	8243	76	8167
SRR31228449	ITS-2	Cote_dIvoire	16956	28	16928
SRR31228450	ITS-2	Cote_dIvoire	4027	57	3970
SRR31228452	ITS-1	Tanzania	26411	26411	0
SRR31228454	ITS-1	Tanzania	11011	11011	0
SRR31228465	ITS-1	Laos	20017	20017	0
SRR31228503	ITS-1	Laos	33801	33800	1
SRR31228514	ITS-1	Laos	33665	33665	0
SRR31228525	ITS-1	Cote_dIvoire	14718	0	14718
SRR31228536	ITS-1	Cote_dIvoire	20041	1	20040
SRR31228551	ITS-1	Laos	23413	23413	0
SRR31228562	ITS-1	Laos	33068	33068	0
SRR31228563	ITS-1	Cote_dIvoire	2439	2	2437
SRR31228591	ITS-1	Laos	34872	34872	0
SRR31228596	ITS-1	Cote_dIvoire	20321	1	20320
SRR31228607	ITS-1	Cote_dIvoire	18044	3	18041
SRR31228617	ITS-2	Tanzania	10951	10934	17
SRR31228631	ITS-2	Tanzania	21750	21734	16
SRR31228632	ITS-2	Tanzania	17988	17971	17
SRR31228634	ITS-2	Tanzania	24420	24413	7
SRR31228635	ITS-2	Tanzania	14697	14678	19
SRR31228637	ITS-2	Tanzania	14529	14500	29
SRR31228638	ITS-2	Tanzania	23371	23345	26
SRR31228639	ITS-2	Tanzania	20678	20662	16
SRR31228642	ITS-2	Tanzania	14701	14689	12
SRR31228647	ITS-2	Laos	16411	16390	21
SRR31228656	ITS-1	Tanzania	21729	21729	0
SRR31228657	ITS-1	Tanzania	31695	31695	0
SRR31228659	ITS-1	Tanzania	24680	24680	0
SRR31228661	ITS-1	Tanzania	41219	41219	0
SRR31228663	ITS-1	Tanzania	0	0	0
SRR31228666	ITS-1	Tanzania	11847	11847	0
SRR31228667	ITS-1	Tanzania	25679	25678	1
SRR31228668	ITS-1	Tanzania	28541	28541	0
SRR31228669	ITS-1	Tanzania	0	0	0
SRR31228672	ITS-1	Tanzania	16490	16490	0
SRR31228673	ITS-1	Tanzania	30831	30831	0
SRR31228674	ITS-1	Laos	16338	16338	0
SRR31228679	ITS-1	Laos	22236	22236	0
SRR31228681	ITS-1	Laos	18399	18399	0
SRR31228682	ITS-1	Cote_dIvoire	25579	8	25571
SRR31228685	ITS-1	Laos	33179	33179	0
SRR31228687	ITS-1	Laos	20157	20157	0
SRR31228689	ITS-1	Laos	24898	24898	0
SRR31228692	ITS-1	Laos	26104	26104	0
SRR31228693	ITS-1	Cote_dIvoire	15690	2	15688
SRR31228694	ITS-1	Laos	30636	30636	0
SRR31228695	ITS-1	Laos	25064	25064	0
SRR31228700	ITS-1	Laos	27807	27807	0
SRR31228703	ITS-1	Laos	23436	23436	0
SRR31228731	ITS-2	Laos	2668	2651	17
SRR31228736	ITS-2	Laos	17153	17145	8
SRR31228737	ITS-2	Laos	14530	14497	33
SRR31228740	ITS-2	Laos	21149	21113	36
SRR31228741	ITS-2	Laos	14158	14116	42
SRR31228742	ITS-2	Laos	14678	14658	20
SRR31228745	ITS-2	Laos	12950	12922	28
SRR31228747	ITS-2	Laos	17527	17501	26
SRR31228748	ITS-2	Laos	15064	15045	19
SRR31228750	ITS-2	Laos	12444	12420	24
SRR31228753	ITS-2	Laos	22264	22248	16
SRR31228755	ITS-2	Cote_dIvoire	11454	55	11399
SRR31228756	ITS-2	Cote_dIvoire	9674	39	9635
SRR31228758	ITS-1	Cote_dIvoire	14097	2	14095
SRR31228759	ITS-1	Cote_dIvoire	10164	0	10164
