Run	Haplotype	Reads	Species
SRR34280168	uniq_1665	3246	Trichuris_incognita_ITS2
SRR34280168	uniq_9227	1198	Trichuris_incognita_ITS2
SRR34280168	uniq_8544	822	Trichuris_incognita_ITS2
SRR34280168	uniq_2667	195	Trichuris_incognita_ITS2
SRR34280168	uniq_6314	79	Trichuris_trichiura_ITS2
SRR34280168	uniq_4101	77	Trichuris_trichiura_ITS2
SRR34280168	uniq_4989	73	Trichuris_trichiura_ITS2
SRR34280168	uniq_2139	46	Trichuris_incognita_ITS2
SRR34280168	uniq_951	18	Trichuris_trichiura_ITS2
SRR34280168	uniq_3039	9	Trichuris_trichiura_ITS2
SRR34280168	uniq_1850	8	Trichuris_trichiura_ITS2
SRR34280168	uniq_2045	7	Trichuris_incognita_ITS2
SRR34280168	uniq_1386	5	Trichuris_trichiura_ITS2
SRR34280168	uniq_3328	4	Trichuris_trichiura_ITS2
SRR34280168	uniq_896	4	Trichuris_trichiura_ITS2
SRR34280168	uniq_1068	2	Trichuris_trichiura_ITS2
SRR34280168	uniq_4094	2	Trichuris_incognita_ITS2
SRR34280168	uniq_4987	2	Trichuris_incognita_ITS2
SRR34280168	uniq_1399	1	Trichuris_trichiura_ITS2
SRR34280168	uniq_3636	1	Trichuris_trichiura_ITS2
SRR34280168	uniq_8672	1	Trichuris_trichiura_ITS2
SRR34280168	uniq_8688	1	Trichuris_trichiura_ITS2
SRR34280168	uniq_9233	1	Trichuris_trichiura_ITS2
SRR34280169	uniq_8544	277	Trichuris_incognita_ITS2
SRR34280169	uniq_2139	188	Trichuris_incognita_ITS2
SRR34280169	uniq_5324	172	Trichuris_trichiura_ITS2
SRR34280169	uniq_4032	155	Trichuris_trichiura_ITS2
SRR34280169	uniq_5195	153	Trichuris_trichiura_ITS2
SRR34280169	uniq_1665	150	Trichuris_incognita_ITS2
SRR34280169	uniq_6817	147	Trichuris_trichiura_ITS2
SRR34280169	uniq_6261	142	Trichuris_trichiura_ITS2
SRR34280169	uniq_145	140	Trichuris_trichiura_ITS2
SRR34280169	uniq_4101	112	Trichuris_trichiura_ITS2
SRR34280169	uniq_4989	100	Trichuris_trichiura_ITS2
SRR34280169	uniq_9233	96	Trichuris_trichiura_ITS2
SRR34280169	uniq_7106	78	Trichuris_trichiura_ITS2
SRR34280169	uniq_9751	74	Trichuris_trichiura_ITS2
SRR34280169	uniq_8688	57	Trichuris_trichiura_ITS2
SRR34280169	uniq_243	52	Trichuris_trichiura_ITS2
SRR34280169	uniq_8672	40	Trichuris_trichiura_ITS2
SRR34280169	uniq_9227	39	Trichuris_incognita_ITS2
SRR34280169	uniq_6314	28	Trichuris_trichiura_ITS2
SRR34280169	uniq_4094	26	Trichuris_incognita_ITS2
SRR34280169	uniq_368	25	Trichuris_trichiura_ITS2
SRR34280169	uniq_1068	23	Trichuris_trichiura_ITS2
SRR34280169	uniq_4537	22	Trichuris_trichiura_ITS2
SRR34280169	uniq_5253	17	Trichuris_trichiura_ITS2
